Model,Symbol,Name,Weight
Tactical Equity,CBLS,Clough Hedged Equity ETF,1.6
Tactical Equity,RSEE,Rareview Systematic Equity ETF,1.6
Tactical Equity,QMNNX,AQR Equity Market Neutral N,4
Tactical Equity,CTA,Simplify Managed Futures Strategy ETF,3
Tactical Equity,ACIO,Aptus Collared Investment Opp ETF,1
Tactical Equity,FTLS,First Trust Long/Short Equity ETF,1.2
Tactical Equity,XHLF,BondBloxx Bloomberg SixMthTrgDurUSTrsETF,2.4
Tactical Equity,BTAL,AGF U.S. Market Neutral Anti-Beta,4
Tactical Equity,CLSE,Convergence Long/Short Equity ETF,0.8
Tactical Equity,DBMF,iMGP DBi Managed Futures Strategy ETF,0.4
Tactical Equity,EFV,iShares MSCI EAFE Value ETF,8
Tactical Equity,SPYG,SPDR® Portfolio S&P 500 Growth ETF,8.8
Tactical Equity,DYNF,iShares U.S. Equity Fac Rotation Act ETF,8
Tactical Equity,SPMO,Invesco S&P 500® Momentum ETF,8.8
Tactical Equity,AUSF,Global X Adaptive US Factor ETF,4.8
Tactical Equity,PVAL,Putnam Focused Large Cap Value ETF,7.2
Tactical Equity,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,1.6
Tactical Equity,EDIV,SPDR® S&P Emerging Markets Dividend ETF,4
Tactical Equity,IDMO,Invesco S&P International Dev Momt ETF,7.2
Tactical Equity,SMH,VanEck Semiconductor ETF,3.2
Tactical Equity,JQUA,JPMorgan US Quality Factor ETF,8.8
Tactical Equity,MOAT,VanEck Morningstar Wide Moat ETF,1.6
Tactical Equity,EQWL,Invesco S&P 100 Equal Weight ETF,8
